file_name	sgRNA	numreads
Example_S1_L001_R1	hsp17|107	1
Example_S1_L001_R1	nucH|77	1
Example_S1_L001_R1	sll1500|37	1
Example_S1_L001_R1	sll1500|63	1
Example_S1_L001_R1	ssr1155|82	2
Example_S1_L001_R1	ssr1155|55	1
Example_S1_L001_R1	sll1503|13	1
Example_S1_L001_R1	slr0695|34	1
Example_S1_L001_R1	slr0695|84	1
Example_S1_L001_R1	slr0695|16	1
Example_S1_L001_R1	sll1507|87	1
Example_S1_L001_R1	sll1504|18	1
Example_S1_L001_R1	sll1505|186	1
Example_S1_L001_R1	sll1505|301	1
Example_S1_L001_R1	slr1063|1342	3
Example_S1_L001_R1	slr1846|199	1
Example_S1_L001_R1	ccsA|139	1
Example_S1_L001_R1	ccsA|61	1
Example_S1_L001_R1	slr1400|13	1
Example_S1_L001_R1	exbB2|7	1
Example_S1_L001_R1	slr1599|218	1
Example_S1_L001_R1	slr1599|44	1
Example_S1_L001_R1	slr0964|94	2
Example_S1_L001_R1	slr0967|160	1
Example_S1_L001_R1	btpA|53	1
Example_S1_L001_R1	btpA|97	2
Example_S1_L001_R1	ssl1923|36	1
Example_S1_L001_R1	gad|20	5
Example_S1_L001_R1	gad|47	1
Example_S1_L001_R1	gad|70	1
Example_S1_L001_R1	ycf19|76	1
Example_S1_L001_R1	ycf19|5	1
Example_S1_L001_R1	ycf19|19	2
Example_S1_L001_R1	lgt|34	1
Example_S1_L001_R1	psaM|31	1
Example_S1_L001_R1	psaM|43	1
Example_S1_L001_R1	ssl1972|91	1
Example_S1_L001_R1	fmu/fmv|200	1
Example_S1_L001_R1	ssl1792|96	1
Example_S1_L001_R1	slr0680|166	1
Example_S1_L001_R1	slr0681|33	3
Example_S1_L001_R1	slr0681|124	2
Example_S1_L001_R1	slr1070|188	1
Example_S1_L001_R1	slr1070|160	1
Example_S1_L001_R1	slr1070|204	2
Example_S1_L001_R1	dnaN|164	1
Example_S1_L001_R1	dnaN|76	1
Example_S1_L001_R1	dnaN|134	1
Example_S1_L001_R1	lpxC|21	1
Example_S1_L001_R1	lpxC|81	1
Example_S1_L001_R1	ssr2962|54	1
Example_S1_L001_R1	ssr2962|160	1
Example_S1_L001_R1	rfbU|295	7
Example_S1_L001_R1	rfbU|148	1
Example_S1_L001_R1	sll1006|28	1
Example_S1_L001_R1	sll1005|7	1
Example_S1_L001_R1	sll1005|139	5
Example_S1_L001_R1	sll1005|46	3
Example_S1_L001_R1	sll1004|123	2
Example_S1_L001_R1	sll1004|40	1
Example_S1_L001_R1	sll1003|77	1
Example_S1_L001_R1	sll1003|63	1
Example_S1_L001_R1	rfbB|56	9
Example_S1_L001_R1	rfbC|206	5
Example_S1_L001_R1	rfbC|166	1
Example_S1_L001_R1	slr1085|30	1
Example_S1_L001_R1	sll0638|10	1
Example_S1_L001_R1	rfbF|93	1
Example_S1_L001_R1	rfbG|126	3
Example_S1_L001_R1	rfbG|260	1
Example_S1_L001_R1	slr0978|109	1
Example_S1_L001_R1	slr0976|258	2
Example_S1_L001_R1	slr0977|65	1
Example_S1_L001_R1	slr1087|85	1
Example_S1_L001_R1	slr1087|130	1
Example_S1_L001_R1	slr1081|16	1
Example_S1_L001_R1	slr1081|4	1
Example_S1_L001_R1	slr1083|95	1
Example_S1_L001_R1	slr1083|27	1
Example_S1_L001_R1	slr1083|38	1
Example_S1_L001_R1	lim|77	3
Example_S1_L001_R1	lim|138	1
Example_S1_L001_R1	sll1647|20	2
Example_S1_L001_R1	sll1647|94	7
Example_S1_L001_R1	sll1647|149	3
Example_S1_L001_R1	sll1647|73	4
Example_S1_L001_R1	sll1647|128	1
Example_S1_L001_R1	trpA|80	1
Example_S1_L001_R1	trpA|91	1
Example_S1_L001_R1	sll1643|92	1
Example_S1_L001_R1	sll1643|124	2
Example_S1_L001_R1	slr1084|92	1
Example_S1_L001_R1	slr1084|17	1
Example_S1_L001_R1	slr1084|134	1
Example_S1_L001_R1	galE|385	2
Example_S1_L001_R1	galE|58	2
Example_S1_L001_R1	galE|172	1
Example_S1_L001_R1	slr0688|127	1
Example_S1_L001_R1	slr0688|109	1
Example_S1_L001_R1	slr1760|187	1
Example_S1_L001_R1	slr1760|107	1
Example_S1_L001_R1	gdhB|9	2
Example_S1_L001_R1	gdhB|94	1
Example_S1_L001_R1	sll0654|49	20
Example_S1_L001_R1	sll1011|125	1
Example_S1_L001_R1	thiE|156	1
Example_S1_L001_R1	apcD|185	1
Example_S1_L001_R1	apcD|201	1
Example_S1_L001_R1	apcD|31	3
Example_S1_L001_R1	apcD|44	1
Example_S1_L001_R1	glcE|3	1
Example_S1_L001_R1	slr1090|99	1
Example_S1_L001_R1	slr1759|13	2
Example_S1_L001_R1	slr1759|58	2
